,Time,K,N,Learning Rate,Train AUC,Test AUC
0,0.8429751010000075,1,1,0.01,0.8884999752044678,0.8044000267982483
1,0.818631124999996,2,1,0.01,0.8891000151634216,0.8058000206947327
2,0.8171690199999944,3,1,0.01,0.8884999752044678,0.8054999709129333
3,0.8210496669999827,4,1,0.01,0.8881000280380249,0.8052999973297119
4,0.825414391999999,5,1,0.01,0.885699987411499,0.8046000003814697
5,0.8187597239999889,6,1,0.01,0.8878999948501587,0.8057000041007996
6,0.8141889520000234,7,1,0.01,0.8894000053405762,0.8054999709129333
7,0.8251796049999882,8,1,0.01,0.886900007724762,0.8041999936103821
8,0.8323178050000024,9,1,0.01,0.8896999955177307,0.807200014591217
9,1.252360130999989,10,1,0.01,0.8870999813079834,0.8052999973297119
10,0.8153003990000229,1,2,0.01,0.8894000053405762,0.8051999807357788
11,1.1889628210000183,2,2,0.01,0.8902000188827515,0.8062000274658203
12,0.8184998979999705,3,2,0.01,0.8891000151634216,0.8058000206947327
13,0.8160862579999844,4,2,0.01,0.8859999775886536,0.8044999837875366
14,0.9611319900000126,5,2,0.01,0.8899000287055969,0.8061000108718872
15,0.8132048800000007,6,2,0.01,0.887499988079071,0.804099977016449
16,1.025554972000009,7,2,0.01,0.8851000070571899,0.8022000193595886
17,0.9077046029999565,8,2,0.01,0.8867999911308289,0.8048999905586243
18,0.8567576050000412,9,2,0.01,0.8863999843597412,0.8051000237464905
19,0.9304564710000136,10,2,0.01,0.8848000168800354,0.8023999929428101
20,0.9641679100000147,1,3,0.01,0.8870000243186951,0.8047999739646912
21,0.8456294320000097,2,3,0.01,0.8888999819755554,0.8050000071525574
22,1.3160761569999977,3,3,0.01,0.8881999850273132,0.8046000003814697
23,1.148922409000022,4,3,0.01,0.8876000046730042,0.8055999875068665
24,1.0189336099999764,5,3,0.01,0.8849999904632568,0.8050000071525574
25,1.2939854059999902,6,3,0.01,0.8877999782562256,0.8051000237464905
26,1.3713810460000104,7,3,0.01,0.8884000182151794,0.8044999837875366
27,0.9189587669999923,8,3,0.01,0.8909000158309937,0.8069999814033508
28,1.297487493999995,9,3,0.01,0.8903999924659729,0.8064000010490417
29,0.8475961970000299,10,3,0.01,0.8877999782562256,0.803600013256073
30,0.8424679089999927,1,4,0.01,0.8841000199317932,0.8030999898910522
31,1.2648001310000154,2,4,0.01,0.8863999843597412,0.8041999936103821
32,0.8956487089999996,3,4,0.01,0.8860999941825867,0.8040000200271606
33,0.8612793750000378,4,4,0.01,0.8894000053405762,0.8055999875068665
34,0.8222681729999977,5,4,0.01,0.892300009727478,0.8068000078201294
35,0.8586712219999981,6,4,0.01,0.885699987411499,0.8044999837875366
36,0.8961248479999995,7,4,0.01,0.8881999850273132,0.8047999739646912
37,0.8351652959999569,8,4,0.01,0.8860999941825867,0.8032000064849854
38,0.829609468000001,9,4,0.01,0.8902000188827515,0.8070999979972839
